Lemma,PoS,Unnamed: 2,Freq,Ra,Disp
the,Det,:,61847,100,0.98
be,Verb,%,42277,100,0.98
of,Prep,:,29391,100,0.97
and,Conj,:,26817,100,0.99
a,Det,%,21626,100,0.99
in,Prep,%,18214,100,0.98
to,Inf,%,16470,100,0.99
have,Verb,%,13655,100,0.97
it,Pron,%,10878,100,0.95
i,Pron,%,10241,100,0.9
to,Prep,:,9343,100,0.99
he,Pron,%,8469,100,0.92
for,Prep,:,8412,100,0.98
not,Neg,%,7995,100,0.94
that,Conj,:,7308,100,0.97
you,Pron,%,6984,100,0.88
with,Prep,:,6575,100,0.99
on,Prep,:,6475,100,0.97
they,Pron,%,6081,100,0.95
do,Verb,%,5594,100,0.92
by,Prep,:,5096,100,0.96
she,Pron,%,4888,100,0.86
at,Prep,:,4790,100,0.98
this,DetP,:,4623,100,0.97
's,Gen,:,4599,100,0.97
but,Conj,:,4577,100,0.97
his,Det,%,4287,100,0.94
we,Pron,%,4202,100,0.93
from,Prep,:,4134,100,0.98
that,DetP,:,3792,100,0.9
which,DetP,:,3719,100,0.96
or,Conj,:,3707,100,0.96
an,Det,:,3430,100,0.97
will,VMod,%,3357,100,0.96
say,Verb,%,3344,100,0.92
as,Conj,:,3006,100,0.98
would,VMod,%,2904,100,0.96
can,VMod,%,2672,100,0.96
their,Det,:,2608,100,0.97
there,Ex,:,2532,100,0.97
what,DetP,:,2493,100,0.92
all,DetP,:,2436,100,0.98
if,Conj,:,2369,100,0.96
get,Verb,%,2210,100,0.87
her,Det,:,2183,100,0.87
make,Verb,%,2165,100,0.98
go,Verb,%,2078,100,0.91
who,Pron,:,2055,100,0.98
one,Num,:,1962,100,0.97
see,Verb,%,1920,100,0.95
so,Adv,:,1893,100,0.93
know,Verb,%,1882,100,0.9
time,NoC,%,1833,100,0.98
take,Verb,%,1797,100,0.98
up,Adv,:,1795,100,0.95
as,Prep,:,1774,100,0.96
some,DetP,:,1712,100,0.98
when,Conj,:,1712,100,0.97
could,VMod,:,1683,100,0.96
year,NoC,%,1639,100,0.96
into,Prep,:,1634,100,0.97
its,Det,:,1632,100,0.95
then,Adv,:,1595,100,0.94
two,Num,%,1563,100,0.97
my,Det,%,1549,100,0.92
out,Adv,:,1542,100,0.96
about,Prep,:,1524,100,0.96
think,Verb,%,1520,100,0.9
come,Verb,%,1512,100,0.94
your,Det,%,1391,100,0.93
now,Adv,:,1382,100,0.95
no,Det,:,1343,100,0.98
other,Adj,:,1336,100,0.97
only,Adv,:,1298,100,0.98
give,Verb,%,1284,100,0.98
just,Adv,:,1277,100,0.92
good,Adj,%,1276,100,0.97
more,Adv,:,1275,100,0.96
people,NoC,%,1256,100,0.95
these,DetP,:,1254,100,0.95
also,Adv,:,1248,100,0.95
any,DetP,:,1220,100,0.96
first,Num,:,1193,100,0.98
very,Adv,:,1165,100,0.95
new,Adj,%,1154,100,0.95
look,Verb,%,1151,100,0.92
may,VMod,:,1135,100,0.94
well,Adv,:,1119,100,0.85
should,VMod,:,1112,100,0.97
way,NoC,%,1108,100,0.97
use,Verb,%,1071,100,0.95
like,Prep,:,1064,100,0.94
than,Conj,:,1033,100,0.98
how,Adv,:,1016,100,0.95
man,NoC,%,1003,100,0.95
find,Verb,%,990,100,0.98
one,Pron,:,953,100,0.93
our,Det,:,950,100,0.96
want,Verb,%,945,100,0.91
day,NoC,%,940,100,0.97
