Lemma,PoS,Unnamed: 2,Freq,Ra,Disp
literary,Adj,:,34,95,0.85
electric,Adj,:,34,100,0.93
cool,Adj,%,34,100,0.91
genuine,Adj,:,33,100,0.95
supreme,Adj,:,33,99,0.73
stupid,Adj,:,33,98,0.86
favourite,Adj,:,33,100,0.94
advanced,Adj,:,33,98,0.88
fit,Adj,%,33,100,0.95
socialist,Adj,:,33,95,0.85
exciting,Adj,:,33,99,0.95
extreme,Adj,%,33,100,0.94
chemical,Adj,:,33,97,0.87
written,Adj,:,33,99,0.9
classical,Adj,:,33,97,0.88
distinct,Adj,:,32,98,0.92
straight,Adj,%,32,100,0.95
mad,Adj,%,32,100,0.9
widespread,Adj,:,32,88,0.92
confident,Adj,:,32,100,0.94
proud,Adj,%,32,100,0.94
opposite,Adj,:,32,100,0.96
numerous,Adj,:,32,99,0.93
catholic,Adj,:,32,100,0.86
helpful,Adj,:,32,100,0.93
conscious,Adj,:,31,100,0.94
satisfied,Adj,:,31,100,0.93
anxious,Adj,:,31,100,0.95
disabled,Adj,:,31,96,0.84
given,Adj,:,31,99,0.89
constitutional,Adj,:,31,86,0.8
nervous,Adj,:,31,100,0.94
consistent,Adj,:,31,96,0.91
developing,Adj,:,31,93,0.91
awful,Adj,:,31,98,0.9
stable,Adj,:,31,100,0.93
impressive,Adj,:,30,100,0.94
outstanding,Adj,:,30,97,0.93
pink,Adj,%,30,99,0.91
related,Adj,:,30,93,0.89
minimum,Adj,:,30,97,0.92
pretty,Adj,%,30,96,0.9
holy,Adj,%,30,99,0.9
dominant,Adj,:,30,96,0.9
honest,Adj,%,30,100,0.94
clinical,Adj,:,30,94,0.77
remote,Adj,%,30,100,0.93
theoretical,Adj,:,30,88,0.88
strategic,Adj,:,30,94,0.89
smooth,Adj,%,30,100,0.93
gentle,Adj,:,29,98,0.9
precise,Adj,:,29,99,0.94
visible,Adj,:,29,99,0.94
still,Adj,%,29,99,0.93
residential,Adj,:,29,96,0.87
silly,Adj,%,29,96,0.88
greek,Adj,:,29,100,0.85
live,Adj,:,29,100,0.91
musical,Adj,:,29,99,0.87
extraordinary,Adj,:,29,99,0.95
broken,Adj,:,29,100,0.93
complicated,Adj,:,29,100,0.95
accurate,Adj,:,29,100,0.95
distant,Adj,:,29,100,0.93
plain,Adj,%,29,99,0.94
inevitable,Adj,:,28,98,0.95
fat,Adj,%,28,97,0.9
junior,Adj,:,28,100,0.91
round,Adj,%,28,100,0.94
violent,Adj,:,28,100,0.94
tight,Adj,%,28,100,0.96
sensible,Adj,:,28,100,0.94
psychological,Adj,:,28,99,0.85
unemployed,Adj,:,28,99,0.9
monetary,Adj,:,28,87,0.82
deaf,Adj,%,27,98,0.62
pleasant,Adj,%,27,99,0.93
grateful,Adj,:,27,99,0.89
welcome,Adj,%,27,100,0.94
so-called,Adj,:,27,98,0.94
above,Adj,:,27,96,0.89
dirty,Adj,%,27,100,0.92
structural,Adj,:,27,87,0.9
blind,Adj,%,26,100,0.95
classic,Adj,:,26,98,0.93
steady,Adj,%,26,100,0.96
universal,Adj,:,26,98,0.91
loose,Adj,:,26,100,0.95
desperate,Adj,:,26,100,0.93
delighted,Adj,:,26,100,0.92
square,Adj,:,26,100,0.94
evident,Adj,:,26,97,0.93
mean,Adj,%,26,100,0.82
continuous,Adj,:,26,100,0.93
entitled,Adj,:,26,100,0.85
fellow,Adj,:,26,99,0.94
overseas,Adj,:,26,93,0.9
occasional,Adj,:,26,100,0.95
clever,Adj,%,25,99,0.92
vulnerable,Adj,:,25,100,0.95
