Lemma,PoS,Unnamed: 2,Freq,Ra,Disp
etcetera,Adv,:,5,37,0.68
voluntarily,Adv,:,5,89,0.91
for_sure,Adv,:,5,87,0.89
anyhow,Adv,:,5,72,0.83
from_now_on,Adv,%,5,92,0.92
wonderfully,Adv,:,5,87,0.92
without,Adv,:,5,97,0.94
inland,Adv,:,5,83,0.88
ter,Adv,:,5,21,0.31
at_length,Adv,:,5,89,0.92
generously,Adv,:,5,90,0.92
hurriedly,Adv,:,5,78,0.84
wrong,Adv,:,5,91,0.91
amiss,Adv,:,5,72,0.43
unduly,Adv,:,5,96,0.94
left,Adv,:,5,73,0.84
willingly,Adv,:,5,92,0.92
understandably,Adv,:,5,94,0.93
confidently,Adv,:,5,94,0.93
vastly,Adv,:,5,93,0.93
satisfactorily,Adv,:,5,93,0.93
indefinitely,Adv,:,5,98,0.93
accidentally,Adv,:,5,95,0.94
vividly,Adv,:,5,91,0.93
spontaneously,Adv,:,5,81,0.88
parallel,Adv,:,5,88,0.89
a_good_deal,Adv,:,5,91,0.93
by_and_large,Adv,:,5,88,0.9
statistically,Adv,:,5,81,0.82
in_vain,Adv,:,5,91,0.93
overwhelmingly,Adv,:,5,87,0.9
unanimously,Adv,:,5,82,0.77
double,Adv,:,5,96,0.88
stiffly,Adv,:,5,57,0.8
briskly,Adv,:,5,61,0.82
open,Adv,:,5,93,0.92
implicitly,Adv,:,5,84,0.89
unnecessarily,Adv,:,5,93,0.93
illegally,Adv,:,5,84,0.86
professionally,Adv,:,5,96,0.94
easy,Adv,:,5,91,0.92
at_most,Adv,:,4,90,0.91
correspondingly,Adv,:,4,69,0.88
thinly,Adv,:,4,83,0.9
crucially,Adv,:,4,71,0.9
thickly,Adv,:,4,69,0.76
in_private,Adv,:,4,87,0.92
afield,Adv,:,4,86,0.92
following,Adv,:,4,87,0.87
uncomfortably,Adv,:,4,76,0.87
routinely,Adv,:,4,77,0.88
faithfully,Adv,:,4,84,0.88
all_of_a_sudden,Adv,:,4,77,0.86
therein,Adv,:,4,80,0.84
ostensibly,Adv,:,4,85,0.9
all_at_once,Adv,:,4,81,0.85
beneath,Adv,:,4,76,0.89
superbly,Adv,:,4,80,0.89
730pm,Adv,%,4,37,0.56
harshly,Adv,:,4,76,0.83
favourably,Adv,:,4,89,0.93
suspiciously,Adv,:,4,78,0.86
adversely,Adv,:,4,75,0.9
alongside,Adv,:,4,88,0.91
sensibly,Adv,:,4,96,0.92
acutely,Adv,:,4,91,0.92
decidedly,Adv,:,4,83,0.91
flatly,Adv,:,4,66,0.82
amazingly,Adv,:,4,88,0.91
at_random,Adv,%,4,92,0.92
powerfully,Adv,:,4,88,0.92
uneasily,Adv,:,4,73,0.86
awkwardly,Adv,:,4,71,0.85
dearly,Adv,:,4,81,0.91
for_good,Adv,:,4,93,0.92
subtly,Adv,:,4,86,0.91
awfully,Adv,:,4,69,0.86
delicately,Adv,:,4,78,0.88
tentatively,Adv,:,4,84,0.9
culturally,Adv,:,4,72,0.87
helplessly,Adv,:,4,70,0.81
farther,Adv,:,4,78,0.89
hugely,Adv,:,4,89,0.92
aboard,Adv,:,4,81,0.86
unconsciously,Adv,:,4,81,0.88
securely,Adv,:,4,83,0.91
forcibly,Adv,:,4,91,0.92
hopelessly,Adv,:,4,86,0.91
variously,Adv,:,4,83,0.92
real,Adv,:,4,73,0.81
marginally,Adv,:,4,90,0.93
coolly,Adv,:,4,69,0.77
randomly,Adv,:,4,79,0.87
remotely,Adv,:,4,89,0.91
per_se,Adv,:,4,70,0.88
drastically,Adv,:,4,90,0.92
gratefully,Adv,:,4,74,0.88
paradoxically,Adv,:,4,81,0.9
drily,Adv,:,4,36,0.71
moderately,Adv,:,4,85,0.9
