Lemma,PoS,Unnamed: 2,Freq,Ra,Disp
labour,NoC,%,139,100,0.91
Sea,NoC,%,139,100,0.94
demand,NoC,%,139,100,0.92
principle,NoC,%,139,100,0.92
capital,NoC,%,138,100,0.9
hotel,NoC,%,138,100,0.88
couple,NoC,%,138,100,0.94
player,NoC,%,138,99,0.87
choice,NoC,%,138,100,0.95
village,NoC,%,137,100,0.93
station,NoC,%,137,100,0.91
film,NoC,%,136,100,0.9
income,NoC,%,135,100,0.89
feature,NoC,%,135,100,0.93
individual,NoC,%,135,100,0.92
association,NoC,%,135,100,0.93
attempt,NoC,%,135,100,0.94
effort,NoC,%,134,100,0.96
organisation,NoC,%,134,98,0.9
cup,NoC,%,134,100,0.9
technology,NoC,%,133,100,0.84
machine,NoC,%,132,100,0.89
difficulty,NoC,%,132,100,0.94
energy,NoC,%,131,100,0.89
treatment,NoC,%,131,100,0.88
growth,NoC,%,131,99,0.92
cell,NoC,%,131,100,0.78
degree,NoC,%,131,100,0.91
mile,NoC,%,130,100,0.93
lady,NoC,%,130,100,0.91
sound,NoC,%,129,100,0.91
risk,NoC,%,129,100,0.91
function,NoC,%,129,100,0.91
top,NoC,%,129,100,0.95
county,NoC,%,129,100,0.87
provision,NoC,%,129,100,0.88
task,NoC,%,129,100,0.93
defence,NoC,%,128,100,0.88
east,NoC,:,128,100,0.93
resource,NoC,%,128,100,0.92
behaviour,NoC,%,128,100,0.9
style,NoC,%,127,100,0.93
west,NoC,:,127,100,0.94
science,NoC,%,127,100,0.87
floor,NoC,%,127,100,0.93
college,NoC,%,126,100,0.88
horse,NoC,%,126,99,0.87
feeling,NoC,%,126,100,0.94
hall,NoC,%,126,100,0.93
response,NoC,%,126,100,0.93
skill,NoC,%,126,100,0.92
user,NoC,%,125,96,0.76
character,NoC,%,125,100,0.92
look,NoC,%,124,100,0.92
investment,NoC,%,124,100,0.9
economy,NoC,%,124,100,0.9
DR,NoC,%,124,98,0.86
army,NoC,%,124,100,0.9
answer,NoC,%,124,100,0.96
dog,NoC,%,124,100,0.89
husband,NoC,%,123,100,0.94
brother,NoC,%,123,100,0.94
season,NoC,%,122,100,0.87
argument,NoC,%,122,100,0.92
responsibility,NoC,%,122,100,0.94
concern,NoC,%,121,100,0.95
bill,NoC,%,121,100,0.86
element,NoC,%,120,100,0.92
glass,NoC,%,120,99,0.91
duty,NoC,%,119,100,0.92
increase,NoC,%,119,100,0.91
one,NoC,:,118,100,0.93
claim,NoC,%,118,100,0.9
title,NoC,%,118,100,0.82
park,NoC,%,118,100,0.9
leg,NoC,%,118,100,0.92
fund,NoC,%,118,100,0.91
note,NoC,%,117,100,0.95
discussion,NoC,%,116,100,0.94
summer,NoC,%,116,100,0.96
Chairman,NoC,%,116,100,0.89
aspect,NoC,%,116,100,0.93
baby,NoC,%,115,100,0.93
sun,NoC,%,115,100,0.85
daughter,NoC,%,115,100,0.86
institution,NoC,%,114,98,0.82
box,NoC,%,114,100,0.95
River,NoC,%,114,100,0.93
customer,NoC,%,114,100,0.89
profit,NoC,%,113,100,0.88
measure,NoC,%,112,100,0.92
conference,NoC,%,112,100,0.88
division,NoC,%,112,99,0.92
stone,NoC,%,112,100,0.92
commission,NoC,%,111,100,0.9
procedure,NoC,%,111,100,0.91
post,NoC,%,111,100,0.93
proposal,NoC,%,111,99,0.89
help,NoC,%,110,100,0.96
oil,NoC,%,110,100,0.9
