Lemma,PoS,Unnamed: 2,Freq,Ra,Disp
be,Verb,%,42277,100,0.98
have,Verb,%,13655,100,0.97
do,Verb,%,5594,100,0.92
say,Verb,%,3344,100,0.92
get,Verb,%,2210,100,0.87
make,Verb,%,2165,100,0.98
go,Verb,%,2078,100,0.91
see,Verb,%,1920,100,0.95
know,Verb,%,1882,100,0.9
take,Verb,%,1797,100,0.98
think,Verb,%,1520,100,0.9
come,Verb,%,1512,100,0.94
give,Verb,%,1284,100,0.98
look,Verb,%,1151,100,0.92
use,Verb,%,1071,100,0.95
find,Verb,%,990,100,0.98
want,Verb,%,945,100,0.91
tell,Verb,%,775,100,0.93
put,Verb,%,700,100,0.93
mean,Verb,%,677,100,0.9
become,Verb,%,675,100,0.96
leave,Verb,%,647,100,0.96
work,Verb,%,646,100,0.97
need,Verb,%,627,100,0.97
feel,Verb,%,624,100,0.93
seem,Verb,%,624,100,0.96
ask,Verb,%,610,100,0.94
show,Verb,%,598,100,0.95
try,Verb,%,552,100,0.95
call,Verb,%,535,100,0.97
keep,Verb,%,505,100,0.96
provide,Verb,%,505,100,0.94
hold,Verb,%,481,100,0.96
turn,Verb,%,465,100,0.93
follow,Verb,%,460,100,0.93
begin,Verb,%,440,100,0.95
bring,Verb,%,439,100,0.98
like,Verb,%,424,100,0.91
going,Verb,%,417,100,0.85
help,Verb,%,416,100,0.97
start,Verb,%,414,100,0.96
run,Verb,%,406,100,0.96
write,Verb,%,400,100,0.96
set,Verb,%,398,100,0.97
move,Verb,%,391,100,0.96
play,Verb,%,386,100,0.94
pay,Verb,%,381,100,0.95
hear,Verb,%,367,100,0.93
include,Verb,%,353,100,0.93
believe,Verb,%,347,100,0.97
allow,Verb,%,342,100,0.95
meet,Verb,%,339,100,0.97
lead,Verb,%,334,100,0.96
live,Verb,%,329,100,0.96
stand,Verb,%,326,100,0.92
happen,Verb,%,325,100,0.95
carry,Verb,%,313,100,0.97
talk,Verb,%,308,100,0.92
appear,Verb,%,307,100,0.96
produce,Verb,%,304,100,0.94
sit,Verb,%,301,100,0.9
offer,Verb,%,293,100,0.95
consider,Verb,%,289,100,0.94
suggest,Verb,%,288,100,0.95
expect,Verb,%,288,100,0.96
let,Verb,%,284,100,0.93
require,Verb,%,284,100,0.92
read,Verb,%,284,100,0.86
continue,Verb,%,283,100,0.96
lose,Verb,%,277,100,0.97
add,Verb,%,275,100,0.96
change,Verb,%,273,100,0.98
fall,Verb,%,273,100,0.96
remember,Verb,%,268,99,0.93
remain,Verb,%,268,100,0.95
buy,Verb,%,262,100,0.94
speak,Verb,%,261,100,0.94
stop,Verb,%,255,100,0.93
send,Verb,%,250,100,0.97
receive,Verb,%,247,100,0.95
decide,Verb,%,245,100,0.97
win,Verb,%,241,100,0.9
understand,Verb,%,238,100,0.96
develop,Verb,%,237,100,0.93
describe,Verb,%,237,100,0.94
agree,Verb,%,236,100,0.93
open,Verb,%,235,100,0.95
reach,Verb,%,234,100,0.96
build,Verb,%,230,100,0.95
involve,Verb,%,229,100,0.94
spend,Verb,%,227,100,0.97
return,Verb,%,225,100,0.96
draw,Verb,%,224,100,0.97
die,Verb,%,220,100,0.93
hope,Verb,%,219,100,0.95
create,Verb,%,217,100,0.94
walk,Verb,%,215,100,0.91
sell,Verb,%,213,100,0.95
wait,Verb,%,213,100,0.91
cause,Verb,%,206,100,0.95
