Lemma,PoS,Freq(ipm),R,D,Doc
и,conj,35801.8,100,99,37704
в,pr,31374.2,100,98,37865
не,part,18028.0,100,97,33999
на,pr,15867.3,100,98,36748
я,spro,12684.4,100,95,17116
быть,v,12160.7,100,98,34184
он,spro,11791.1,100,95,28132
с,pr,11311.9,100,99,35700
что,conj,8354.0,100,98,32419
а,conj,8198.0,100,97,32332
по,pr,5786.7,100,97,33978
это,spro,5707.8,100,98,29898
она,spro,5592.4,100,94,22587
этот,apro,5414.0,100,98,31647
к,pr,5389.0,100,98,31030
но,conj,5381.4,100,97,28377
они,spro,4850.0,100,98,28378
мы,spro,4704.8,100,95,22349
как,conj,4403.7,100,98,28290
из,pr,4314.1,100,98,30650
у,pr,4306.1,100,97,25493
который,apro,4209.0,100,97,30723
то,spro,3964.4,100,98,28949
за,pr,3904.1,100,98,29062
свой,apro,3825.5,100,98,27748
что,spro,3810.2,100,96,25095
весь,apro,3786.3,100,98,29118
год,s,3727.5,100,94,29477
от,pr,3672.5,100,98,28838
так,advpro,3440.4,100,97,26035
о,pr,3407.1,100,97,27501
для,pr,3229.3,100,96,29661
ты,spro,3171.2,100,91,8519
же,part,3144.3,100,98,24816
все,spro,3106.8,100,97,23447
тот,apro,2967.1,100,98,26147
мочь,v,2912.3,100,98,25413
вы,spro,2906.4,100,95,14512
человек,s,2723.0,100,97,20423
такой,apro,2696.8,100,98,25591
его,apro,2577.9,100,98,22672
сказать,v,2396.6,100,94,15426
только,part,2391.7,100,98,25040
или,conj,2345.0,100,95,22613
еще,adv,2323.9,100,97,22654
бы,part,2322.4,100,97,19003
себя,spro,2272.8,100,97,20522
один,apro,2245.7,100,98,25211
как,advpro,2212.7,100,97,23078
уже,adv,2179.2,100,97,23140
до,pr,2061.1,100,98,25054
время,s,2015.7,100,97,24342
если,conj,1998.1,100,97,21751
сам,apro,1986.3,100,97,20814
когда,conj,1895.7,100,97,18570
другой,apro,1837.3,100,98,23316
вот,part,1785.1,100,92,15102
говорить,v,1755.0,100,96,17120
наш,apro,1731.8,100,96,19392
мой,apro,1720.3,100,95,10190
знать,v,1713.8,100,95,13494
стать,v,1621.8,100,97,21235
при,pr,1550.8,100,93,22016
чтобы,conj,1479.7,100,97,19292
дело,s,1412.1,100,97,18240
жизнь,s,1389.8,100,96,14894
кто,spro,1374.8,100,96,15675
первый,anum,1345.6,100,97,21737
очень,adv,1286.8,100,97,16281
два,num,1285.1,100,98,20150
день,s,1258.4,100,97,17383
ее,apro,1219.2,100,97,16047
новый,a,1217.5,100,96,21161
рука,s,1200.6,100,94,10370
даже,part,1179.8,100,97,17196
во,pr,1167.8,100,98,19571
со,pr,1151.3,100,98,18468
раз,s,1131.8,100,97,16783
где,advpro,1129.2,100,97,16309
там,advpro,1128.1,100,92,12283
под,pr,1126.0,100,97,17089
можно,adv,1125.9,100,97,19738
ну,part,1114.6,100,86,7803
какой,apro,1091.7,100,97,14220
после,pr,1080.1,100,97,18254
их,apro,1076.0,100,95,18863
работа,s,1058.3,100,95,18222
без,pr,1018.8,100,98,16550
самый,apro,1007.4,100,97,18266
потом,advpro,1006.1,100,95,10149
надо,adv,993.2,100,96,12769
хотеть,v,991.3,100,95,12290
ли,part,981.7,100,97,14161
слово,s,967.9,100,96,14564
идти,v,957.1,100,96,13815
Россия,s.PROP,952.2,100,92,16797
большой,a,944.4,100,97,17589
должен,a,944.2,100,97,17057
место,s,926.6,100,98,16518
иметь,v,906.7,100,96,17493
