Lemma,PoS,Freq(ipm),R,D,Doc
новый,a,1217.5,100,96,21161
большой,a,944.4,100,97,17589
должен,a,944.2,100,97,17057
последний,a,712.6,100,97,16356
российский,a,644.6,100,84,13252
русский,a,530.5,100,95,7621
общий,a,492.4,100,94,12561
высокий,a,483.3,100,96,12042
хороший,a,471.4,100,96,9948
главный,a,454.6,100,95,13312
лучший,a,443.2,100,97,11353
маленький,a,414.1,100,96,8377
молодой,a,400.0,100,96,7446
государственный,a,391.3,100,84,8823
полный,a,390.6,100,98,10687
советский,a,382.9,100,93,5941
настоящий,a,374.0,100,87,10034
старый,a,368.5,100,96,7242
разный,a,352.6,100,96,9853
нужный,a,351.9,100,97,8431
белый,a,339.6,100,95,5693
собственный,a,338.3,100,97,9559
черный,a,337.5,100,95,5448
основной,a,334.1,100,90,11318
далекий,a,318.3,100,96,6925
подобный,a,301.6,100,95,9421
следующий,a,301.4,100,95,9635
равный,a,289.7,100,97,7809
живой,a,284.0,100,95,5736
известный,a,281.1,100,95,9400
военный,a,278.7,100,92,4753
важный,a,277.0,100,95,9219
великий,a,276.3,100,94,5873
простой,a,275.3,100,98,8450
огромный,a,272.1,100,97,6805
политический,a,269.6,100,91,5825
московский,a,257.3,100,93,7936
готовый,a,248.5,100,97,7815
красный,a,240.5,100,96,4981
современный,a,236.1,100,92,8092
социальный,a,228.2,100,86,5073
ранний,a,225.7,100,98,6533
особый,a,224.3,100,96,7528
целый,a,222.5,100,98,6702
плохой,a,221.6,100,97,5861
сильный,a,220.5,100,98,6204
скорый,a,220.0,100,97,6783
крупный,a,217.3,100,95,7555
внутренний,a,216.1,100,93,6438
экономический,a,210.6,100,90,5899
правый,a,210.4,100,96,4655
федеральный,a,208.9,88,80,5181
близкий,a,206.8,100,98,6077
похожий,a,206.5,100,95,4668
различный,a,205.5,100,87,7293
необходимый,a,203.7,100,93,8135
единственный,a,202.2,100,97,6857
легкий,a,202.1,100,97,5500
человеческий,a,199.3,100,92,4579
международный,a,198.2,100,89,6275
дорогой,a,197.7,100,96,5625
небольшой,a,196.6,100,96,6721
местный,a,193.3,100,93,6412
бывший,a,191.5,100,96,5675
американский,a,186.5,100,92,5025
широкий,a,183.9,100,93,6315
мировой,a,182.3,100,92,6039
тяжелый,a,180.3,100,97,4849
возможный,a,179.1,100,93,7299
отдельный,a,177.5,100,92,6689
средний,a,177.3,100,91,6279
красивый,a,177.2,100,96,4273
короткий,a,175.6,100,93,4629
серьезный,a,173.0,100,95,6744
интересный,a,171.9,100,96,6125
добрый,a,171.1,100,96,4317
национальный,a,170.3,100,92,5155
длинный,a,170.1,100,94,3436
страшный,a,169.1,100,95,3975
прошлый,a,169.0,100,94,7774
общественный,a,168.1,100,91,5206
детский,a,161.8,100,94,4372
единый,a,161.3,100,94,5812
определенный,a,161.2,100,91,5926
низкий,a,160.7,100,95,6091
чужой,a,159.6,100,95,3627
странный,a,159.5,100,95,3735
чистый,a,159.0,100,97,4768
поздний,a,157.7,100,97,4753
специальный,a,156.8,100,93,6520
научный,a,155.1,100,90,4076
сложный,a,154.5,100,93,6265
реальный,a,153.8,100,93,6076
способный,a,150.5,100,96,5814
малый,a,150.2,100,94,4609
старший,a,149.5,100,97,4022
личный,a,149.2,100,94,4805
свободный,a,149.0,100,97,4901
обычный,a,148.7,100,98,5376
прекрасный,a,148.4,100,96,4118
