Lemma,PoS,Freq(ipm),R,D,Doc
непременно,adv,43.2,100,95,1751
мгновенно,adv,42.3,99,94,1444
существенно,adv,42.0,99,87,2523
ровно,adv,41.7,100,96,1888
твердо,adv,40.8,99,95,1580
внутри,adv,40.4,100,95,1691
вернее,adv,40.3,99,95,1538
радостно,adv,40.3,99,92,1384
заметно,adv,40.3,100,94,2018
замуж,adv,39.8,98,93,1287
дважды,adv,39.6,100,96,1867
нету,adv,39.4,94,88,1106
вправе,adv,38.7,99,65,1247
вовремя,adv,38.4,100,95,1762
сперва,adv,37.9,100,92,1065
отдельно,adv,37.7,100,96,1995
подробно,adv,37.4,100,95,1933
по-видимому,adv,37.1,100,92,1395
вечно,adv,36.7,100,95,1480
поначалу,adv,36.6,100,95,1619
мимо,adv,36.6,100,92,1389
всерьез,adv,36.5,99,96,1822
удивительно,adv,36.2,99,96,1617
срочно,adv,36.1,100,94,1406
неплохо,adv,36.0,100,96,1771
однако,adv,35.7,100,94,1465
независимо,adv,35.6,100,91,1981
еле,adv,35.6,98,92,1159
самостоятельно,adv,35.3,100,94,2206
немножко,adv,35.3,100,90,1285
вслух,adv,35.3,99,92,1238
мягко,adv,35.3,100,94,1456
коротко,adv,35.2,100,93,1349
слышно,adv,35.0,99,91,1220
несомненно,adv,35.0,100,95,1683
искренне,adv,34.9,100,95,1526
непонятно,adv,34.7,100,95,1623
справа,adv,34.4,100,94,1258
незаметно,adv,34.2,100,94,1347
исключительно,adv,34.2,100,95,2060
по-настоящему,adv,34.1,100,96,1612
холодно,adv,34.1,97,93,1233
слева,adv,33.8,100,94,1281
вплоть,adv,33.6,100,94,1976
нынче,adv,33.4,99,92,1284
здорово,adv,33.4,94,93,1358
тотчас,adv,33.4,96,90,883
невольно,adv,33.1,99,94,1281
вначале,adv,32.9,99,95,1485
аккуратно,adv,32.6,100,94,1383
вдвоем,adv,32.6,97,93,1121
словом,adv,32.5,98,95,1360
угодно,adv,32.1,99,96,1478
свободно,adv,31.8,100,97,1663
вот-вот,adv,31.4,99,93,1261
снизу,adv,31.4,100,92,1263
уверенно,adv,31.3,100,95,1546
целиком,adv,31.1,100,96,1509
по-русски,adv,31.0,97,94,1187
наряду,adv,30.8,96,89,1881
недостаточно,adv,30.8,100,94,1954
официально,adv,30.7,100,94,1885
подряд,adv,30.7,100,96,1630
кругом,adv,30.1,99,92,1189
надолго,adv,29.8,99,96,1438
регулярно,adv,29.7,100,94,1770
смешно,adv,29.7,98,93,1187
реально,adv,29.5,99,93,1931
чуть-чуть,adv,29.3,99,94,1219
охотно,adv,29.2,99,95,1344
совместно,adv,29.2,99,90,1861
недалеко,adv,29.2,100,96,1362
намного,adv,29.2,100,94,1751
откровенно,adv,29.1,100,95,1410
слабо,adv,29.0,100,81,1231
сложно,adv,28.8,99,93,1856
заодно,adv,28.6,98,95,1387
некуда,adv,28.6,98,94,1336
стремительно,adv,28.3,99,95,1324
следом,adv,28.3,95,91,996
отчасти,adv,28.3,100,94,1394
зачастую,adv,28.2,99,92,1825
отчетливо,adv,27.8,98,95,1236
ужасно,adv,27.8,99,93,1017
задумчиво,adv,27.7,93,88,834
ярко,adv,27.7,100,97,1468
ежедневно,adv,27.5,100,94,1461
удобно,adv,27.3,100,96,1470
нормально,adv,26.8,100,89,1345
неоднократно,adv,26.7,99,93,1613
принципиально,adv,26.3,99,91,1643
дескать,adv,26.1,97,93,1112
грустно,adv,26.1,95,93,1080
тесно,adv,25.9,100,95,1413
красиво,adv,25.8,100,95,1308
неподалеку,adv,25.7,100,94,1120
недолго,adv,25.7,99,95,1249
ежегодно,adv,24.9,96,91,1710
заново,adv,24.9,100,96,1247
ловко,adv,24.7,98,91,963
