Lemma,PoS,Freq(ipm),R,D,Doc
жалеть,v,51.4,100,94,1714
сохраниться,v,51.4,100,95,2242
вынести,v,51.3,100,96,2278
отказываться,v,51.2,100,97,2515
защищать,v,51.0,100,96,2545
основать,v,51.0,100,90,2714
заглянуть,v,51.0,99,93,1676
пожать,v,50.9,97,89,1062
лишить,v,50.9,100,97,2317
уезжать,v,50.7,99,94,1607
воскликнуть,v,50.5,98,90,1086
дрожать,v,50.5,96,91,1274
сообщать,v,50.3,100,96,2400
лезть,v,50.0,99,93,1577
жениться,v,50.0,100,93,1483
волноваться,v,49.9,99,94,1465
поразить,v,49.9,100,96,1900
убивать,v,49.8,100,94,1647
велеть,v,49.8,100,92,1303
решиться,v,49.7,100,95,1927
задуматься,v,49.6,100,94,1951
добраться,v,49.6,100,94,1719
позвать,v,49.5,96,92,1455
нуждаться,v,49.5,100,96,2580
удивляться,v,49.4,100,95,1868
скрывать,v,49.3,100,96,1990
передавать,v,49.3,100,96,2341
здравствовать,v,49.3,100,90,1446
запомнить,v,49.2,99,95,1554
покинуть,v,49.0,100,96,1961
подавать,v,49.0,100,96,2073
послушать,v,49.0,100,93,1538
пережить,v,48.9,100,95,2034
продолжить,v,48.8,100,96,2377
раздаться,v,48.8,98,92,1250
превышать,v,48.2,100,89,2750
оказывать,v,48.2,100,91,2658
ловить,v,48.0,99,94,1711
забрать,v,47.9,100,94,1647
утвердить,v,47.8,100,89,2441
испугаться,v,47.8,98,92,1431
применять,v,47.7,100,89,2553
убедиться,v,47.7,100,97,2046
заменить,v,47.6,100,96,2509
приглашать,v,47.5,100,95,2000
привлечь,v,47.4,100,95,2714
везти,v,47.0,100,95,1702
убрать,v,47.0,100,95,1819
предположить,v,46.9,100,95,2214
летать,v,46.6,99,93,1565
признавать,v,46.4,100,96,2229
подчеркнуть,v,46.3,100,94,2621
прислать,v,46.3,100,95,1634
повести,v,46.3,100,94,1568
покрыть,v,46.3,100,92,1672
предпочитать,v,46.3,100,96,2403
успокоиться,v,46.1,100,92,1416
жаловаться,v,46.1,100,95,1898
решаться,v,46.1,100,97,2321
исключить,v,46.0,100,95,2612
отсутствовать,v,45.9,100,90,2521
владеть,v,45.7,100,96,2244
торчать,v,45.5,99,91,1360
постараться,v,45.2,100,95,1923
убедить,v,45.2,100,96,2243
соединить,v,45.2,100,94,1991
задавать,v,45.1,100,97,2039
заложить,v,45.0,100,95,2362
реализовать,v,44.8,96,89,2553
выяснить,v,44.6,100,96,2155
общаться,v,44.5,100,93,1884
повернуть,v,44.5,99,92,1366
исполнять,v,44.5,100,94,1934
останавливаться,v,44.4,100,95,1766
совершать,v,44.2,99,94,2038
воевать,v,44.1,99,94,1440
ненавидеть,v,44.1,98,94,1440
родить,v,44.1,99,94,1644
задать,v,44.1,100,96,2021
выдавать,v,44.1,100,96,2104
наступать,v,44.0,100,97,2041
предупредить,v,43.8,100,94,1582
выявить,v,43.8,99,84,2064
предназначить,v,43.7,100,92,2447
набрать,v,43.7,100,95,1845
учесть,v,43.6,100,96,2485
уничтожить,v,43.6,100,95,1718
освободить,v,43.5,100,95,1850
воспринимать,v,43.4,100,94,1970
прекратить,v,43.4,100,96,2039
увеличить,v,43.3,100,92,2701
съесть,v,43.2,100,94,1632
справиться,v,43.2,100,96,2068
наблюдаться,v,43.2,100,83,2108
подозревать,v,43.2,100,95,1699
объединить,v,43.2,100,92,2363
упомянуть,v,43.1,99,94,2104
отнести,v,43.1,100,93,2247
вестись,v,43.1,100,93,2581
отдыхать,v,42.9,100,96,1764
